Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Alex Abrines\abrinal01,SG,24,OKC,50,5,775,77,197,.391,54,144,.375,23,53,.434,.528,32,37,.865,17,62,79,19,27,5,21,88,240
2,Quincy Acy\acyqu01,PF,27,BRK,49,6,980,86,255,.337,66,198,.333,20,57,.351,.467,42,52,.808,32,173,205,33,23,16,50,101,280
3,Steven Adams\adamsst01,C,24,OKC,51,51,1647,304,482,.631,0,2,.000,304,480,.633,.631,100,170,.588,265,196,461,48,63,49,79,146,708
4,Bam Adebayo\adebaba01,C,20,MIA,46,11,934,123,222,.554,0,6,.000,123,216,.569,.554,82,115,.713,78,165,243,74,27,30,42,94,328
5,Arron Afflalo\afflaar01,SG,32,ORL,40,2,502,43,115,.374,16,45,.356,27,70,.386,.443,16,20,.800,3,48,51,21,2,7,15,43,118
6,Cole Aldrich\aldrico01,C,29,MIN,12,0,28,3,9,.333,0,0,,3,9,.333,.333,2,4,.500,3,4,7,1,2,1,1,6,8
7,LaMarcus Aldridge\aldrila01,C,32,SAS,53,53,1800,469,940,.499,25,76,.329,444,864,.514,.512,226,271,.834,179,270,449,106,29,63,83,120,1189
8,Jarrett Allen\allenja01,C,19,BRK,47,6,857,143,247,.579,3,9,.333,140,238,.588,.585,65,84,.774,88,146,234,29,21,39,44,93,354
9,Kadeem Allen\allenka01,PG,25,BOS,7,0,27,1,6,.167,0,3,.000,1,3,.333,.167,3,4,.750,1,2,3,1,1,0,3,2,5
10,Tony Allen\allento01,SF,36,NOP,22,0,273,44,91,.484,4,12,.333,40,79,.506,.505,11,21,.524,20,27,47,9,11,3,19,49,103
11,Al-Farouq Aminu\aminual01,PF,27,POR,42,40,1266,146,362,.403,81,205,.395,65,157,.414,.515,34,46,.739,50,261,311,47,38,28,43,76,407
12,Justin Anderson\anderju01,SF,24,PHI,23,0,322,50,113,.442,18,55,.327,32,58,.552,.522,16,22,.727,17,39,56,13,11,4,7,36,134
13,Kyle Anderson\anderky01,SF,24,SAS,48,42,1311,148,288,.514,11,32,.344,137,256,.535,.533,71,89,.798,53,226,279,130,67,37,63,71,378
14,Ryan Anderson\anderry01,PF,29,HOU,51,50,1430,172,399,.431,107,282,.379,65,117,.556,.565,61,77,.792,77,196,273,50,22,16,40,96,512
15,Ike Anigbogu\anigbik01,C,19,IND,10,0,28,4,9,.444,0,0,,4,9,.444,.444,5,6,.833,5,4,9,0,1,3,2,1,13
16,Giannis Antetokounmpo\antetgi01,PF,23,MIL,49,49,1810,499,922,.541,25,82,.305,474,840,.564,.555,344,453,.759,108,400,508,231,72,62,136,146,1367
17,Carmelo Anthony\anthoca01,PF,33,OKC,54,54,1738,343,833,.412,109,314,.347,234,519,.451,.477,121,156,.776,39,284,323,76,34,35,69,142,916
18,OG Anunoby\anunoog01,SF,20,TOR,54,42,1145,120,268,.448,55,159,.346,65,109,.596,.550,33,46,.717,35,99,134,44,46,8,32,98,328
19,Ryan Arcidiacono\arcidry01,PG,23,CHI,9,0,90,4,9,.444,2,7,.286,2,2,1.000,.556,2,2,1.000,0,4,4,9,4,0,1,8,12
20,Trevor Ariza\arizatr01,SF,32,HOU,44,44,1538,179,422,.424,120,313,.383,59,109,.541,.566,53,60,.883,24,181,205,71,67,8,40,84,531
21,Darrell Arthur\arthuda01,PF,29,DEN,11,1,98,13,34,.382,5,17,.294,8,17,.471,.456,1,1,1.000,2,10,12,7,5,1,12,12,32
22,Jamel Artis\artisja01,SG,25,ORL,5,0,55,4,17,.235,0,5,.000,4,12,.333,.235,1,3,.333,1,6,7,4,0,0,0,0,9
23,Omer Asik\asikom01,C,31,NOP,14,0,121,7,16,.438,0,0,,7,16,.438,.438,4,12,.333,7,30,37,2,1,2,5,14,18
24,D.J. Augustin\augusdj01,PG,30,ORL,47,8,975,128,295,.434,61,152,.401,67,143,.469,.537,97,115,.843,17,68,85,150,39,0,63,57,414
25,Luke Babbitt\babbilu01,SF,28,ATL,37,9,570,80,168,.476,49,111,.441,31,57,.544,.622,17,22,.773,5,76,81,26,7,5,15,47,226
26,Dwayne Bacon\bacondw01,SG,22,CHO,33,6,463,41,115,.357,10,32,.313,31,83,.373,.400,10,14,.714,1,89,90,20,9,2,15,37,102
27,Ron Baker\bakerro01,SG,24,NYK,29,1,385,20,59,.339,11,33,.333,9,26,.346,.432,20,26,.769,5,25,30,47,26,6,18,33,71
28,Lonzo Ball\balllo01,PG,20,LAL,36,36,1222,142,399,.356,59,195,.303,83,204,.407,.430,24,50,.480,48,209,257,255,55,32,98,78,367
29,J.J. Barea\bareajo01,PG,33,DAL,51,2,1174,209,501,.417,80,230,.348,129,271,.476,.497,72,92,.783,9,146,155,304,26,3,98,68,570
30,Harrison Barnes\barneha02,PF,25,DAL,53,53,1841,367,815,.450,73,210,.348,294,605,.486,.495,168,204,.824,59,292,351,101,36,12,81,67,975
31,Will Barton\bartowi01,SG,27,DEN,53,19,1695,283,644,.439,95,263,.361,188,381,.493,.513,108,141,.766,43,212,255,218,58,32,98,100,769
32,Nicolas Batum\batumni01,SG,29,CHO,40,40,1270,180,429,.420,59,185,.319,121,244,.496,.488,68,85,.800,35,142,177,189,41,12,84,51,487
33,Jerryd Bayless\bayleje01,SG,29,PHI,38,11,916,109,261,.418,54,145,.372,55,116,.474,.521,35,44,.795,15,64,79,53,23,6,46,90,307
34,Aron Baynes\baynear01,C,31,BOS,56,43,1020,135,289,.467,0,8,.000,135,281,.480,.467,48,64,.750,82,215,297,52,16,34,54,135,318
35,Kent Bazemore\bazemke01,SG,28,ATL,55,55,1533,243,582,.418,90,235,.383,153,347,.441,.495,137,172,.797,22,198,220,196,91,40,134,126,713
36,Bradley Beal\bealbr01,SG,24,WAS,55,55,1996,475,1032,.460,135,362,.373,340,670,.507,.526,220,278,.791,44,204,248,227,65,25,131,102,1305
37,Malik Beasley\beaslma01,SG,21,DEN,45,0,459,56,140,.400,18,62,.290,38,78,.487,.464,15,23,.652,13,49,62,25,12,4,20,33,145
38,Michael Beasley\beaslmi01,PF,29,NYK,49,8,971,252,493,.511,18,48,.375,234,445,.526,.529,95,123,.772,64,189,253,64,24,27,95,88,617
39,Marco Belinelli\belinma01,SG,31,ATL,52,1,1210,199,484,.411,92,247,.372,107,237,.451,.506,101,109,.927,13,86,99,103,46,3,54,41,591
40,Jordan Bell\belljo01,C,23,GSW,38,11,546,87,131,.664,0,3,.000,87,128,.680,.664,20,30,.667,46,103,149,68,26,40,38,72,194
41,DeAndre' Bembry\bembrde01,SF,23,ATL,18,0,311,33,88,.375,7,20,.350,26,68,.382,.415,14,21,.667,7,34,41,26,13,8,36,30,87
42,Dragan Bender\bendedr01,PF,20,PHO,56,11,1286,117,304,.385,78,205,.380,39,99,.394,.513,21,27,.778,21,186,207,73,14,31,69,104,333
43,Davis Bertans\bertada01,PF,25,SAS,52,4,760,111,258,.430,65,178,.365,46,80,.575,.556,28,33,.848,14,96,110,48,16,19,26,63,315
44,Patrick Beverley\beverpa01,SG,29,LAC,11,11,334,48,119,.403,24,60,.400,24,59,.407,.504,14,17,.824,16,29,45,32,19,5,25,34,134
45,Khem Birch\birchkh01,C,25,ORL,18,0,196,27,50,.540,0,0,,27,50,.540,.540,8,14,.571,28,36,64,11,7,10,11,25,62
46,Jabari Bird\birdja01,SG,23,BOS,4,0,22,1,4,.250,0,2,.000,1,2,.500,.250,3,5,.600,0,2,2,1,1,0,0,2,5
47,Bismack Biyombo\biyombi01,C,25,ORL,54,20,1039,119,222,.536,0,1,.000,119,221,.538,.536,72,107,.673,97,221,318,35,15,73,61,115,310
48,Nemanja Bjelica\bjeline01,PF,29,MIN,42,4,661,94,190,.495,42,96,.438,52,94,.553,.605,21,25,.840,23,109,132,35,25,5,26,75,251
49,Tarik Black\blackta01,C,26,HOU,35,0,348,52,91,.571,0,8,.000,52,83,.627,.571,21,45,.467,43,60,103,8,13,18,27,73,125
50,Antonio Blakeney\blakean01,SG,21,CHI,12,0,170,30,82,.366,9,30,.300,21,52,.404,.421,16,21,.762,3,17,20,7,2,0,8,8,85
51,Eric Bledsoe\bledser01,PG,28,TOT,45,45,1370,271,607,.446,68,221,.308,203,386,.526,.502,154,200,.770,30,131,161,190,93,24,128,109,764
51,Eric Bledsoe\bledser01,PG,28,PHO,3,3,83,16,40,.400,4,13,.308,12,27,.444,.450,11,14,.786,3,4,7,9,4,2,10,6,47
51,Eric Bledsoe\bledser01,PG,28,MIL,42,42,1287,255,567,.450,64,208,.308,191,359,.532,.506,143,186,.769,27,127,154,181,89,22,118,103,717
52,Vander Blue\blueva01,SG,25,LAL,5,0,45,1,5,.200,0,2,.000,1,3,.333,.200,1,2,.500,0,1,1,3,1,0,3,2,3
53,Bogdan Bogdanovic\bogdabo01,SG,25,SAC,50,25,1351,208,444,.468,76,192,.396,132,252,.524,.554,66,78,.846,18,115,133,153,50,12,83,105,558
54,Bojan Bogdanovic\bogdabo02,SF,28,IND,54,54,1642,261,558,.468,101,261,.387,160,297,.539,.558,109,129,.845,16,157,173,76,41,3,64,90,732
55,Andrew Bogut\bogutan01,C,33,LAL,24,5,216,17,25,.680,0,0,,17,25,.680,.680,2,2,1.000,26,52,78,15,4,13,19,40,36
56,Joel Bolomboy\bolomjo01,PF,24,MIL,6,0,38,3,6,.500,0,1,.000,3,5,.600,.500,3,6,.500,6,4,10,0,2,0,2,3,9
57,Devin Booker\bookede01,SG,21,PHO,43,43,1463,347,805,.431,112,294,.381,235,511,.460,.501,231,258,.895,19,171,190,210,40,11,154,131,1037
58,Trevor Booker\booketr01,PF,30,TOT,44,5,777,125,238,.525,3,15,.200,122,223,.547,.532,53,77,.688,76,144,220,58,21,14,45,79,306
58,Trevor Booker\booketr01,PF,30,BRK,18,5,395,77,150,.513,3,12,.250,74,138,.536,.523,24,43,.558,38,81,119,38,8,5,30,43,181
58,Trevor Booker\booketr01,PF,30,PHI,26,0,382,48,88,.545,0,3,.000,48,85,.565,.545,29,34,.853,38,63,101,20,13,9,15,36,125
59,Avery Bradley\bradlav01,SG,27,TOT,42,42,1328,243,589,.413,74,198,.374,169,391,.432,.475,61,80,.763,21,78,99,89,49,7,96,85,621
59,Avery Bradley\bradlav01,SG,27,DET,40,40,1268,233,570,.409,74,194,.381,159,376,.423,.474,61,80,.763,19,75,94,83,46,7,93,80,601
59,Avery Bradley\bradlav01,SG,27,LAC,2,2,60,10,19,.526,0,4,.000,10,15,.667,.526,0,0,,2,3,5,6,3,0,3,5,20
60,Tony Bradley\bradlto01,C,20,UTA,8,0,28,3,11,.273,0,1,.000,3,10,.300,.273,2,2,1.000,4,7,11,1,0,0,0,1,8
61,Corey Brewer\breweco01,SF,31,LAL,50,2,634,71,158,.449,8,43,.186,63,115,.548,.475,29,45,.644,20,67,87,36,38,8,35,77,179
62,Malcolm Brogdon\brogdma01,PG,25,MIL,46,20,1404,238,489,.487,59,156,.378,179,333,.538,.547,75,85,.882,23,129,152,149,41,13,65,128,610
63,Aaron Brooks\brookaa01,PG,33,MIN,26,1,157,22,51,.431,7,21,.333,15,30,.500,.500,4,6,.667,5,8,13,18,6,0,9,18,55
64,Dillon Brooks\brookdi01,SF,22,MEM,54,46,1514,187,413,.453,56,149,.376,131,264,.496,.521,54,75,.720,29,138,167,68,44,14,66,170,484
65,Bobby Brown\brownbo02,PG,33,HOU,20,0,115,19,58,.328,11,40,.275,8,18,.444,.422,1,2,.500,0,7,7,11,4,0,9,6,50
66,Jaylen Brown\brownja02,SF,21,BOS,51,51,1608,269,584,.461,90,232,.388,179,352,.509,.538,97,164,.591,49,227,276,82,52,20,89,147,725
67,Lorenzo Brown\brownlo01,PG,27,TOR,12,0,95,7,21,.333,0,7,.000,7,14,.500,.333,0,0,,0,10,10,12,3,0,1,5,14
68,Markel Brown\brownma02,SG,26,HOU,2,0,21,1,4,.250,0,3,.000,1,1,1.000,.250,0,0,,1,3,4,0,0,0,1,4,2
69,Sterling Brown\brownst02,SG,22,MIL,28,2,400,45,104,.433,18,45,.400,27,59,.458,.519,12,14,.857,13,59,72,8,23,7,13,41,120
70,Nicolas Brussino\brussni01,SF,24,ATL,4,0,10,0,2,.000,0,2,.000,0,0,,.000,0,0,,0,3,3,0,0,0,0,0,0
71,Thomas Bryant\bryanth01,C,20,LAL,6,0,19,2,6,.333,1,4,.250,1,2,.500,.417,2,4,.500,1,2,3,2,0,0,0,0,7
72,Reggie Bullock\bullore01,SF,26,DET,38,28,961,130,253,.514,63,140,.450,67,113,.593,.638,14,21,.667,13,66,79,46,32,7,18,44,337
73,Trey Burke\burketr01,PG,25,NYK,11,0,156,39,71,.549,7,16,.438,32,55,.582,.599,9,14,.643,2,12,14,34,3,0,7,8,94
74,Alec Burks\burksal01,SG,26,UTA,48,1,900,150,364,.412,40,121,.331,110,243,.453,.467,102,118,.864,17,146,163,57,34,8,46,66,442
75,Jimmy Butler\butleji01,SG,28,MIN,51,51,1894,385,800,.481,64,170,.376,321,630,.510,.521,304,352,.864,69,207,276,258,100,20,98,67,1138
76,Dwight Buycks\buyckdw01,PG,28,DET,15,0,234,48,104,.462,9,23,.391,39,81,.481,.505,18,21,.857,5,21,26,35,8,2,23,24,123
77,Bruno Caboclo\cabocbr01,SF,22,TOR,2,0,7,0,2,.000,0,2,.000,0,0,,.000,0,0,,0,1,1,1,1,0,0,1,0
78,Jose Calderon\caldejo01,PG,36,CLE,37,24,586,50,102,.490,26,58,.448,24,44,.545,.618,14,18,.778,8,42,50,73,19,0,24,52,140
79,Kentavious Caldwell-Pope\caldwke01,SG,24,LAL,46,46,1493,207,506,.409,90,253,.356,117,253,.462,.498,97,127,.764,38,179,217,91,73,10,59,83,601
80,Isaiah Canaan\canaais01,PG-SG,26,TOT,20,1,422,52,137,.380,22,66,.333,30,71,.423,.460,46,51,.902,6,39,45,76,16,1,29,36,172
80,Isaiah Canaan\canaais01,SG,26,HOU,1,0,4,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,1,1,0,0,0,0,0,0
80,Isaiah Canaan\canaais01,PG,26,PHO,19,1,418,52,136,.382,22,66,.333,30,70,.429,.463,46,51,.902,6,38,44,76,16,1,29,36,172
81,Clint Capela\capelca01,C,23,HOU,48,48,1296,293,445,.658,0,1,.000,293,444,.660,.658,99,165,.600,151,366,517,50,37,88,75,129,685
82,DeMarre Carroll\carrode01,SF,31,BRK,51,51,1504,223,543,.411,93,263,.354,130,280,.464,.496,133,171,.778,80,248,328,97,45,20,76,111,672
83,Vince Carter\cartevi01,SF,41,SAC,34,4,565,62,161,.385,33,90,.367,29,71,.408,.488,14,21,.667,9,61,70,38,29,20,17,55,171
84,Michael Carter-Williams\cartemi01,PG,26,CHO,42,2,670,53,168,.315,11,44,.250,42,124,.339,.348,52,64,.813,32,79,111,96,32,16,42,84,169
85,Alex Caruso\carusal01,PG,23,LAL,23,0,309,25,60,.417,5,20,.250,20,40,.500,.458,7,12,.583,8,23,31,46,12,6,21,31,62
86,Omri Casspi\casspom01,SF,29,GSW,42,6,631,100,170,.588,9,18,.500,91,152,.599,.615,43,56,.768,24,143,167,44,17,18,33,62,252
87,Willie Cauley-Stein\caulewi01,C,24,SAC,48,35,1309,246,492,.500,2,11,.182,244,481,.507,.502,97,157,.618,81,243,324,105,51,43,71,113,591
88,Tyler Cavanaugh\cavanty01,PF,23,ATL,30,1,413,55,116,.474,26,71,.366,29,45,.644,.586,13,17,.765,34,65,99,25,9,3,11,50,149
89,Mario Chalmers\chalmma01,PG,31,MEM,48,7,1075,126,336,.375,39,142,.275,87,194,.448,.433,84,100,.840,11,121,132,151,60,9,83,130,375
90,Tyson Chandler\chandty01,C,35,PHO,41,41,1048,104,167,.623,0,0,,104,167,.623,.623,55,89,.618,126,266,392,48,14,25,54,101,263
91,Wilson Chandler\chandwi01,SF,30,DEN,48,45,1455,155,374,.414,46,143,.322,109,231,.472,.476,64,76,.842,66,176,242,93,24,24,66,93,420
92,Marquese Chriss\chrisma01,PF,20,PHO,48,41,1017,122,303,.403,38,131,.290,84,172,.488,.465,59,97,.608,42,206,248,60,35,47,65,142,341
93,Ian Clark\clarkia01,SG,26,NOP,47,1,790,107,248,.431,33,113,.292,74,135,.548,.498,23,34,.676,7,67,74,60,16,7,30,66,270
94,Jordan Clarkson\clarkjo01,SG,25,LAL,53,2,1256,299,667,.448,68,210,.324,231,457,.505,.499,105,132,.795,44,115,159,173,39,3,95,63,771
95,Gian Clavell\clavegi01,SG,24,DAL,7,0,64,6,18,.333,6,15,.400,0,3,.000,.500,2,2,1.000,1,6,7,3,2,0,2,8,20
96,Antonius Cleveland\clevean01,SG,23,DAL,13,0,81,4,14,.286,0,1,.000,4,13,.308,.286,2,4,.500,2,8,10,2,6,4,2,11,10
97,John Collins\collijo01,PF,20,ATL,49,4,1091,208,353,.589,6,17,.353,202,336,.601,.598,92,125,.736,134,211,345,49,31,55,67,141,514
98,Zach Collins\colliza01,C,20,POR,39,1,593,65,166,.392,19,57,.333,46,109,.422,.449,10,21,.476,27,102,129,28,12,19,31,84,159
99,Kyle Collinsworth\colliky01,SF,26,DAL,12,0,134,11,20,.550,2,3,.667,9,17,.529,.600,5,12,.417,4,24,28,10,8,0,6,16,29
100,Darren Collison\collida01,PG,30,IND,52,52,1574,245,495,.495,70,162,.432,175,333,.526,.566,104,116,.897,29,110,139,273,75,13,66,97,664
101,Nick Collison\collini01,PF,37,OKC,9,0,52,7,8,.875,0,0,,7,8,.875,.875,3,6,.500,3,10,13,3,0,0,4,5,17
102,Mike Conley\conlemi01,PG,30,MEM,12,12,373,64,168,.381,24,77,.312,40,91,.440,.452,53,66,.803,0,27,27,49,12,3,18,24,205
103,Pat Connaughton\connapa01,SG,25,POR,55,5,1090,129,295,.437,60,160,.375,69,135,.511,.539,35,41,.854,21,96,117,73,12,15,32,84,353
104,Quinn Cook\cookqu01,PG,24,GSW,11,2,104,13,29,.448,5,14,.357,8,15,.533,.534,1,1,1.000,2,10,12,17,0,0,3,9,32
105,Charles Cooke\cookech01,SG,23,NOP,7,0,20,2,9,.222,1,5,.200,1,4,.250,.278,1,2,.500,0,1,1,1,1,0,1,0,6
106,Jack Cooley\cooleja01,PF,26,SAC,1,0,2,0,1,.000,0,0,,0,1,.000,.000,2,2,1.000,0,1,1,1,0,0,0,0,2
107,Matt Costello\costema01,C,24,SAS,3,0,18,1,3,.333,0,0,,1,3,.333,.333,0,0,,1,6,7,0,0,2,1,5,2
108,DeMarcus Cousins\couside01,C,27,NOP,48,48,1737,406,864,.470,104,294,.354,302,570,.530,.530,294,394,.746,105,513,618,257,79,76,242,183,1210
109,Robert Covington\covinro01,PF,27,PHI,49,49,1594,216,522,.414,132,347,.380,84,175,.480,.540,78,91,.857,37,240,277,95,79,35,95,149,642
110,Allen Crabbe\crabbal01,SG,25,BRK,52,45,1508,211,542,.389,123,345,.357,88,197,.447,.503,77,91,.846,18,205,223,82,29,20,61,114,622
111,Torrey Craig\craigto01,SF,27,DEN,24,4,374,36,78,.462,10,36,.278,26,42,.619,.526,17,27,.630,22,48,70,17,8,6,10,37,99
112,Jamal Crawford\crawfja01,SG,37,MIN,55,0,1039,203,478,.425,66,195,.338,137,283,.484,.494,75,84,.893,9,55,64,129,28,7,60,60,547
113,Jordan Crawford\crawfjo02,SG,29,NOP,2,0,37,7,14,.500,4,5,.800,3,9,.333,.643,0,0,,2,1,3,9,0,1,4,6,18
114,Jae Crowder\crowdja01,SF,27,CLE,53,47,1346,157,376,.418,62,189,.328,95,187,.508,.500,78,92,.848,41,132,173,58,41,12,42,124,454
115,Dante Cunningham\cunnida01,SF,30,NOP,51,24,1117,99,225,.440,35,108,.324,64,117,.547,.518,20,36,.556,50,143,193,26,27,16,16,75,253
116,Stephen Curry\curryst01,PG,29,GSW,40,40,1320,342,694,.493,169,405,.417,173,289,.599,.615,233,255,.914,27,178,205,257,63,5,122,94,1086
117,Troy Daniels\danietr01,SG,26,PHO,56,3,1069,155,378,.410,126,307,.410,29,71,.408,.577,45,49,.918,7,63,70,32,12,3,36,101,481
118,Anthony Davis\davisan02,PF,24,NOP,47,47,1711,461,851,.542,32,93,.344,429,758,.566,.561,304,370,.822,116,382,498,118,57,101,100,96,1258
119,Deyonta Davis\davisde01,C,21,MEM,38,1,484,84,134,.627,0,0,,84,134,.627,.627,24,35,.686,42,92,134,19,10,27,22,70,192
120,Ed Davis\davised01,C,28,POR,55,0,1025,124,215,.577,0,0,,124,215,.577,.577,61,92,.663,135,253,388,29,26,41,47,138,309
121,Dewayne Dedmon\dedmode01,C,28,ATL,36,21,834,148,268,.552,26,69,.377,122,199,.613,.601,37,48,.771,65,202,267,53,15,24,49,105,359
122,Sam Dekker\dekkesa01,PF,23,LAC,47,1,676,92,199,.462,9,56,.161,83,143,.580,.485,29,43,.674,32,93,125,30,21,7,25,49,222
123,Malcolm Delaney\delanma01,PG,28,ATL,47,2,884,95,247,.385,38,106,.358,57,141,.404,.462,55,70,.786,8,78,86,138,27,4,59,72,283
124,Matthew Dellavedova\dellama01,PG,27,MIL,37,3,702,55,149,.369,29,77,.377,26,72,.361,.466,23,25,.920,13,50,63,142,14,0,48,67,162
125,Luol Deng\denglu01,SF,32,LAL,1,1,13,1,2,.500,0,0,,1,2,.500,.500,0,0,,0,0,0,1,1,0,1,0,2
126,DeMar DeRozan\derozde01,SG,28,TOR,54,54,1845,451,977,.462,62,184,.337,389,793,.491,.493,328,396,.828,42,176,218,276,64,16,120,97,1292
127,Cheick Diallo\diallch01,PF,21,NOP,26,0,199,35,64,.547,0,0,,35,64,.547,.547,16,21,.762,16,50,66,6,2,4,9,31,86
